X;Y
0;[ 0.         -0.53573456]
1;[ 0.         -0.53455577]
2;[ 0.         -0.53343427]
3;[ 0.         -0.53236894]
4;[ 0.         -0.53135868]
5;[ 0.         -0.53040244]
6;[ 0.         -0.52949917]
7;[ 0.         -0.52864786]
8;[ 0.         -0.52784753]
9;[ 0.         -0.52709721]
10;[ 0.         -0.52639596]
11;[ 0.         -0.52574287]
12;[ 0.         -0.52513704]
13;[ 0.        -0.5245776]
14;[ 0.         -0.52406371]
15;[ 0.         -0.52359453]
16;[ 0.         -0.52316927]
17;[ 0.         -0.52278713]
18;[ 0.         -0.52244736]
19;[ 0.        -0.5221492]
20;[ 0.         -0.52189195]
21;[ 0.         -0.52167488]
22;[ 0.         -0.52149733]
23;[ 0.         -0.52135861]
24;[ 0.         -0.52125809]
25;[ 0.         -0.52119513]
26;[ 0.         -0.52116913]
27;[ 0.         -0.52117948]
28;[ 0.         -0.52122561]
29;[ 0.         -0.52130696]
30;[ 0.         -0.52142298]
31;[ 0.         -0.52157315]
32;[ 0.         -0.52175695]
33;[ 0.         -0.52197388]
34;[ 0.         -0.52222347]
35;[ 0.         -0.52250524]
36;[ 0.         -0.52281875]
37;[ 0.         -0.52316355]
38;[ 0.         -0.52353921]
39;[ 0.         -0.52394534]
40;[ 0.         -0.52438153]
41;[ 0.         -0.52484739]
42;[ 0.         -0.52534257]
43;[ 0.         -0.52586668]
44;[ 0.        -0.5264194]
45;[ 0.         -0.52700038]
46;[ 0.         -0.52760931]
47;[ 0.         -0.52824587]
48;[ 0.         -0.52890977]
49;[ 0.        -0.5296007]
50;[ 0.         -0.53031841]
51;[ 0.         -0.53106262]
52;[ 0.         -0.53183307]
53;[ 0.         -0.53262952]
54;[ 0.         -0.53345174]
55;[ 0.         -0.53429949]
56;[ 0.         -0.53517255]
57;[ 0.         -0.53607074]
58;[ 0.         -0.53699383]
59;[ 0.         -0.53794165]
60;[ 0.         -0.53891401]
61;[ 0.         -0.53991075]
62;[ 0.         -0.54093169]
63;[ 0.         -0.54197668]
64;[ 0.         -0.54304558]
65;[ 0.         -0.54413825]
66;[ 0.         -0.54525455]
67;[ 0.         -0.54639435]
68;[ 0.         -0.54755755]
69;[ 0.         -0.54874403]
70;[ 0.         -0.54995369]
71;[ 0.         -0.55118643]
72;[ 0.         -0.55244216]
73;[ 0.        -0.5537208]
74;[ 0.         -0.55502227]
75;[ 0.        -0.5563465]
76;[ 0.         -0.55769343]
77;[ 0.       -0.559063]
78;[ 0.         -0.56045515]
79;[ 0.         -0.56186983]
80;[ 0.         -0.56330702]
81;[ 0.         -0.56476666]
82;[ 0.         -0.56624873]
83;[ 0.        -0.5677532]
84;[ 0.         -0.56928005]
85;[ 0.         -0.57082927]
86;[ 0.         -0.57240084]
87;[ 0.         -0.57399476]
88;[ 0.         -0.57561102]
89;[ 0.         -0.57724963]
90;[ 0.        -0.5789106]
91;[ 0.         -0.58059393]
92;[ 0.         -0.58229965]
93;[ 0.         -0.58402776]
94;[ 0.        -0.5857783]
95;[ 0.        -0.5875513]
96;[ 0.         -0.58934678]
97;[ 0.         -0.59116478]
98;[ 0.         -0.59300534]
99;[ 0.        -0.5948685]
100;[ 0.        -0.5967543]
101;[ 0.         -0.59866281]
102;[ 0.         -0.60059407]
103;[ 0.         -0.60254814]
104;[ 0.         -0.60452508]
105;[ 0.         -0.60652494]
106;[ 0.         -0.60854781]
107;[ 0.         -0.61059375]
108;[ 0.         -0.61266283]
109;[ 0.         -0.61475513]
110;[ 0.         -0.61687073]
111;[ 0.         -0.61900971]
112;[ 0.         -0.62117216]
113;[ 0.         -0.62335816]
114;[ 0.         -0.62556781]
115;[ 0.        -0.6278012]
116;[ 0.         -0.63005843]
117;[ 0.        -0.6323396]
118;[ 0.         -0.63464481]
119;[ 0.         -0.63697417]
120;[ 0.         -0.63932779]
121;[ 0.         -0.64170577]
122;[ 0.         -0.64410824]
123;[ 0.         -0.64653532]
124;[ 0.         -0.64898711]
125;[ 0.         -0.65146375]
126;[ 0.         -0.65396537]
127;[ 0.         -0.65649208]
128;[ 0.         -0.65904403]
129;[ 0.         -0.66162134]
130;[ 0.         -0.66422416]
131;[ 0.         -0.66685263]
