X;Y
0;[-0.  0.]
1;[ 1.42648733e-10 -3.07330382e-11]
2;[ 2.26506395e-09 -4.93832709e-10]
3;[ 1.13735139e-08 -2.50884885e-09]
4;[ 3.56486237e-08 -7.95468536e-09]
5;[ 8.63092416e-08 -1.94786645e-08]
6;[ 1.77480409e-07 -4.05038595e-08]
7;[ 3.26065285e-07 -7.52347244e-08]
8;[ 5.51620888e-07 -1.28661052e-07]
9;[ 8.76237514e-07 -2.06560287e-07]
10;[ 1.32442170e-06 -3.15498237e-07]
11;[ 1.92298263e-06 -4.62828197e-07]
12;[ 2.70092182e-06 -6.56688532e-07]
13;[ 3.68932601e-06 -9.05998753e-07]
14;[ 4.92126312e-06 -1.22045411e-06]
15;[ 6.43168124e-06 -1.61051875e-06]
16;[ 8.25731039e-06 -2.08741747e-06]
17;[ 1.04365672e-05 -2.66312606e-06]
18;[ 1.30094621e-05 -3.35036038e-06]
19;[ 1.60175093e-05 -4.16256408e-06]
20;[ 1.95036392e-05 -5.11389508e-06]
21;[ 2.35121130e-05 -6.21921082e-06]
22;[ 2.80884404e-05 -7.49405230e-06]
23;[ 3.32792985e-05 -8.95462702e-06]
24;[ 3.91324539e-05 -1.06177907e-05]
25;[ 4.56966863e-05 -1.25010282e-05]
26;[ 5.30217144e-05 -1.46224327e-05]
27;[ 6.11581244e-05 -1.70006849e-05]
28;[ 7.01572988e-05 -1.96550306e-05]
29;[ 8.00713495e-05 -2.26052572e-05]
30;[ 9.09530502e-05 -2.58716696e-05]
31;[ 1.02855773e-04 -2.94750658e-05]
32;[ 1.15833424e-04 -3.34367102e-05]
33;[ 1.29940384e-04 -3.77783076e-05]
34;[ 1.4523145e-04 -4.2521976e-05]
35;[ 1.61761771e-04 -4.76902181e-05]
36;[ 1.79586801e-04 -5.33058929e-05]
37;[ 1.98762236e-04 -5.93921863e-05]
38;[ 2.19343968e-04 -6.59725812e-05]
39;[ 2.41388027e-04 -7.30708271e-05]
40;[ 2.64950532e-04 -8.07109089e-05]
41;[ 2.90087647e-04 -8.89170157e-05]
42;[ 3.16855527e-04 -9.77135087e-05]
43;[ 0.00034531 -0.00010712]
44;[ 0.00037551 -0.00011718]
45;[ 0.0004075  -0.00012789]
46;[ 0.00044136 -0.00013929]
47;[ 0.00047712 -0.00015141]
48;[ 0.00051484 -0.00016427]
49;[ 0.00055459 -0.00017789]
50;[ 0.00059641 -0.00019229]
51;[ 0.00064036 -0.00020751]
52;[ 0.00068649 -0.00022357]
53;[ 0.00073485 -0.00024048]
54;[ 0.00078551 -0.00025828]
55;[ 0.00083851 -0.00027699]
56;[ 0.00089389 -0.00029662]
57;[ 0.00095173 -0.00031722]
58;[ 0.00101205 -0.00033878]
59;[ 0.00107492 -0.00036135]
60;[ 0.00114039 -0.00038494]
61;[ 0.0012085  -0.00040956]
62;[ 0.00127929 -0.00043525]
63;[ 0.00135283 -0.00046203]
64;[ 0.00142914 -0.0004899 ]
65;[ 0.00150829 -0.00051889]
66;[ 0.00159031 -0.00054903]
67;[ 0.00167525 -0.00058032]
68;[ 0.00176315 -0.00061279]
69;[ 0.00185405 -0.00064644]
70;[ 0.001948   -0.00068131]
71;[ 0.00204503 -0.00071739]
72;[ 0.00214518 -0.00075471]
73;[ 0.0022485  -0.00079327]
74;[ 0.00235502 -0.0008331 ]
75;[ 0.00246478 -0.00087419]
76;[ 0.00257781 -0.00091657]
77;[ 0.00269415 -0.00096024]
78;[ 0.00281383 -0.00100521]
79;[ 0.00293688 -0.00105148]
80;[ 0.00306333 -0.00109907]
81;[ 0.00319323 -0.00114797]
82;[ 0.00332659 -0.0011982 ]
83;[ 0.00346344 -0.00124975]
84;[ 0.00360381 -0.00130264]
85;[ 0.00374773 -0.00135685]
86;[ 0.00389522 -0.00141238]
87;[ 0.00404631 -0.00146925]
88;[ 0.00420102 -0.00152744]
89;[ 0.00435937 -0.00158695]
90;[ 0.00452138 -0.00164777]
91;[ 0.00468707 -0.00170991]
92;[ 0.00485646 -0.00177334]
93;[ 0.00502957 -0.00183807]
94;[ 0.00520641 -0.00190408]
95;[ 0.005387   -0.00197136]
