X;Y
0;-24.143518384717275
1;-24.143544678251494
2;-24.143564231119782
3;-24.14357712466692
4;-24.143583436837307
5;-24.143583242296643
6;-24.14357661254914
7;-24.143563616050482
8;-24.14354431831673
9;-24.1435187820292
10;-24.143487067135542
11;-24.14344923094717
12;-24.14340532823305
13;-24.143355411310143
14;-24.143299530130435
15;-24.143237732364877
16;-24.143170063484117
17;-24.14309656683634
18;-24.143017283722187
19;-24.142932253466906
20;-24.1428415134898
21;-24.142745099371123
22;-24.142643044916433
23;-24.14253538221855
24;-24.142422141717187
25;-24.14230335225631
26;-24.14217904113934
27;-24.14204923418224
28;-24.141913955764597
29;-24.141773228878716
30;-24.141627075176828
31;-24.14147551501651
32;-24.141318567504257
33;-24.14115625053746
34;-24.140988580844613
35;-24.140815574024046
36;-24.14063724458104
37;-24.140453605963472
38;-24.140264670596064
39;-24.140070449913207
40;-24.139870954390442
41;-24.139666193574687
42;-24.139456176113153
43;-24.139240909781126
44;-24.139020401508485
45;-24.1387946574052
46;-24.138563682785637
47;-24.138327482191865
48;-24.138086059415944
49;-24.13783941752118
50;-24.137587558862485
51;-24.137330485105764
52;-24.137068197246435
53;-24.136800695627073
54;-24.136527979954245
55;-24.13625004931448
56;-24.13596690218953
57;-24.135678536470802
58;-24.135384949473092
59;-24.13508613794763
60;-24.13478209809439
61;-24.13447282557374
62;-24.134158315517503
63;-24.13383856253931
64;-24.133513560744394
65;-24.133183303738814
66;-24.13284778463803
67;-24.132506996075023
68;-24.13216093020779
69;-24.131809578726376
70;-24.131452932859375
71;-24.13109098337994
72;-24.130723720611293
73;-24.130351134431823
74;-24.129973214279673
75;-24.12958994915691
76;-24.12920132763329
77;-24.12880733784953
78;-24.128407967520275
79;-24.12800320393656
80;-24.127593033967976
81;-24.127177444064372
82;-24.126756420257266
83;-24.126329948160848
84;-24.125898012972584
85;-24.1254605994736
86;-24.12501769202859
87;-24.124569274585454
88;-24.124115330674627
89;-24.123655843408034
90;-24.123190795477747
91;-24.12272016915436
92;-24.12224394628502
93;-24.12176210829116
94;-24.12127463616596
95;-24.12078151047149
96;-24.12028271133556
97;-24.119778218448296
98;-24.119268011058438
99;-24.118752067969325
100;-24.11823036753465
101;-24.117702887653884
102;-24.11716960576747
103;-24.116630498851695
104;-24.116085543413377
105;-24.115534715484163
106;-24.114977990614666
107;-24.11441534386827
108;-24.113846749814698
109;-24.113272182523264
110;-24.112691615555963
111;-24.112105021960158
112;-24.111512374261114
113;-24.110913644454193
114;-24.110308803996826
115;-24.10969782380019
116;-24.10908067422061
117;-24.108457325050733
118;-24.107827745510356
119;-24.10719190423708
120;-24.106549769276594
121;-24.10590130807274
122;-24.105246487457276
123;-24.104585273639362
124;-24.103917632194783
125;-24.103243528054843
126;-24.10256292549503
127;-24.10187578812334
128;-24.101182078868316
129;-24.100481759966833
130;-24.09977479295154
131;-24.09906113863798
132;-24.0983407571115
133;-24.09761360771374
134;-24.096879649028867
135;-24.0961388388695
136;-24.09539113426227
137;-24.094636491433107
138;-24.093874865792152
139;-24.093106211918364
140;-24.092330483543797
141;-24.09154763353749
142;-24.090757613889053
143;-24.089960375691884
144;-24.089155869126024
145;-24.088344043440657
146;-24.08752484693623
147;-24.086698226946222
148;-24.08586412981851
149;-24.085022500896347
150;-24.08417328449897
151;-24.083316423901802
152;-24.08245186131622
153;-24.081579537868972
154;-24.080699393581114
155;-24.07981136734656
156;-24.07891539691018
157;-24.078011418845463
158;-24.07709936853178
159;-24.076179180131085
160;-24.07525078656426
161;-24.07431411948694
162;-24.07336910926486
163;-24.072415684948727
164;-24.0714537742486
165;-24.070483303507714
166;-24.069504197675897
167;-24.068516380282347
168;-24.067519773407934
169;-24.066514297656973
170;-24.0654998721284
171;-24.064476414386423
172;-24.063443840430562
173;-24.062402064665164
174;-24.06135099986823
175;-24.06029055715973
176;-24.059220645969233
177;-24.05814117400294
178;-24.05705204721006
179;-24.055953169748523
180;-24.054844443950046
181;-24.05372577028448
182;-24.05259704732351
183;-24.051458171703608
184;-24.05030903808828
185;-24.049149539129537
186;-24.04797956542869
187;-24.046799005496275
188;-24.045607745711294
189;-24.04440567027957
190;-24.04319266119133
191;-24.041968598177966
192;-24.040733358667886
193;-24.039486817741544
194;-24.038228848085577
195;-24.03695931994601
